,Birmingham,LA,London,NYC,Great Britain,US,Total
trump,0.0009413147469915547,-0.061045042894723706,0.026474963772616242,-0.049612070556527464,0.022986055691445087,-0.055509663271729744,-0.04610816681763222
johnson,0.03932312568692102,0.1862580118792643,0.019902742787666402,0.16031506015399422,0.023505326833317554,0.17384348697164048,0.059621999363788494
All,0.23925275903675883,0.15690286553367708,0.22885618543112377,0.14329244187212753,0.23084911345796333,0.15048732741624504,0.17639005765040047
